Hotelling T2         	sum-squared residuals  	
 3.438582143922E-01  	 9.666451022510E+05    	
 2.789689235551E+00  	 4.332205540555E+06    	
 6.278039722837E+00  	 5.380747608570E+07    	
 3.751094516323E+00  	 3.412516170478E+07    	
 4.583196539436E-04  	 7.582237700028E+03    	
 1.093957509122E+00  	 3.618001060689E+05    	
 1.884185099190E-02  	 5.961054784429E+04    	
 1.690329357997E+01  	 1.466477956914E+08    	
 8.987138820598E-05  	 4.367022273248E+03    	
 5.821789272506E+01  	 1.101085999557E+07    	
 1.063159886252E-03  	 4.252150147517E+03    	
 1.471216659135E+00  	 5.447875753745E+06    	
 1.156083357381E-05  	 7.366326179342E+01    	
 1.949984018004E-01  	 9.931586835503E+05    	
 9.658383129106E+01  	 8.506235537240E+08    	
 4.568552944891E-04  	 1.825918999067E+04    	
 2.494415578067E+02  	 1.180659998537E+08    	
 1.484000236211E+00  	 8.587164278129E+05    	
 5.006842004674E-01  	 3.122068178607E+06    	
 8.834209731217E-01  	 5.514344399221E+06    	
 3.840249372499E-01  	 8.853701109304E+05    	
 5.490523634665E-01  	 7.585915080641E+05    	
 2.215808358490E+01  	 1.405977490480E+07    	
 2.674319592164E-03  	 5.085138508506E+04    	
 2.785209021767E+01  	 4.488201491933E+07    	
 1.015785640760E+00  	 1.054964027301E+06    	
 4.947968687513E-01  	 9.721147552555E+05    	
 2.676733904061E-01  	 6.082835016342E+05    	
 4.167693429665E+01  	 3.739359661234E+08    	
 3.538486621772E-03  	 4.804542087403E+04    	
 1.929800027732E+00  	 3.610666005387E+06    	
 1.430429291951E-04  	 4.830394213826E+03    	
 2.120078539606E+02  	 5.074999592750E+07    	
 3.402644387947E-04  	 3.822914842471E+03    	
 6.676432617251E-05  	 4.117714665917E+03    	
 9.864079809792E-01  	 5.880459887601E+06    	
 1.226711113072E+00  	 3.697253044197E+06    	
 1.114056391741E-03  	 7.868268480725E+03    	
 6.542005122132E+00  	 1.376129314210E+07    	
 6.266332772247E+00  	 1.430876649153E+07    	
 1.331570830613E+01  	 4.082905836715E+07    	
 2.215444708607E-04  	 2.840208727792E+03    	
 4.369271175577E-04  	 1.022069194107E+04    	
 5.754406587648E+01  	 4.521236335797E+07    	
 5.295304120032E-01  	 7.326276151321E+05    	
 2.075427889231E-04  	 3.085889822270E+03    	
 2.950831948040E+00  	 2.792968168525E+07    	
 1.644746334290E-01  	 1.027853691034E+05    	
 2.063231637724E-04  	 5.834951964282E+03    	
 3.515261727717E-04  	 5.741310937913E+03    	
 9.847341837063E+00  	 2.486381937242E+07    	
 2.766907889939E+00  	 1.022834299382E+07    	
 9.581071321099E+01  	 2.773613674864E+07    	
 1.171895707815E+01  	 1.907468012229E+07    	
 1.227394912203E+00  	 2.244462342414E+06    	
 6.200587614550E+00  	 1.722195723739E+07    	
 3.248390076491E-01  	 4.107943320313E+05    	
 2.076172106961E+01  	 6.589366173737E+07    	
 1.810412255364E+01  	 6.825789585786E+07    	
 9.991677042703E-02  	 1.198797208501E+06    	
 2.568925667887E+00  	 3.204152699266E+06    	
 9.129641211374E-05  	 4.599898163798E+03    	
 1.846013772154E-01  	 3.588567590110E+05    	
 4.695634396615E-02  	 2.425026106253E+04    	
 1.121087981188E-05  	 9.237721769634E+02    	
 1.415556651443E-03  	 2.264554346413E+04    	
 8.536176468220E-02  	 1.348236087618E+05    	
 8.009328542130E-01  	 6.138263983164E+05    	
 2.947928766941E-03  	 2.372203110169E+04    	
 1.169634163014E-04  	 5.501515727885E+03    	
 1.028272252306E-03  	 4.598169285042E+03    	
 7.301379506324E+00  	 5.101749871859E+07    	
 7.202691143754E+00  	 5.759269457746E+06    	
 3.119132917833E+00  	 3.479370750899E+06    	
 1.213665780805E-03  	 4.072866164644E+03    	
 2.785213282004E-04  	 1.780782888930E+03    	
 1.407025072624E+00  	 1.009625602423E+06    	
 1.025587359796E+00  	 9.630405678967E+05    	
 9.759368883826E-03  	 2.083741947240E+04    	
 1.748196036495E-05  	 3.119283659988E+03    	
 2.594894362402E+01  	 1.326816057394E+07    	
 4.260442696860E+01  	 2.514606345354E+08    	
 1.186914417591E+01  	 8.130025276593E+07    	
 1.243622263486E+01  	 6.299007212003E+07    	
 2.642526398744E-01  	 5.101592935576E+05    	
 1.696480621912E-01  	 1.270524164670E+06    	
 4.084064964329E-01  	 1.105436804299E+06    	
 3.883493447630E-01  	 7.255987138982E+05    	
 2.822563856243E-04  	 2.780198102326E+03    	
 5.728317287880E+01  	 1.034151444223E+07    	
 9.151159421055E+00  	 6.315627050024E+06    	
 2.155326275339E+00  	 1.166398671349E+06    	
 5.121132256637E-01  	 3.469252472086E+05    	
 7.126592428038E+01  	 1.218421975834E+08    	
 8.730580236951E+00  	 2.139347833850E+06    	
 1.268626926159E+00  	 2.144856344842E+06    	
 1.495005100992E-01  	 1.524893202274E+05    	
 1.765480396456E+00  	 2.212778501645E+06    	
 2.469514204671E-01  	 6.567657456134E+05    	
 4.725805959867E-02  	 2.450091544920E+05    	
 2.968906329874E+01  	 2.484673615954E+07    	
 1.956215582436E+00  	 4.405797133811E+06    	
 2.842715897179E-02  	 4.923523890242E+04    	
 4.151980899933E+00  	 7.990572502164E+07    	
 3.387901120398E-04  	 4.084677862743E+03    	
 5.427734287099E-01  	 3.574328612182E+05    	
 1.279852927731E+01  	 8.577318886666E+07    	
 5.999776127383E+00  	 4.300683947043E+07    	
 3.414562323431E+00  	 2.943466802640E+06    	
 1.588011104222E-04  	 6.355969922994E+03    	
 1.395872419334E+02  	 2.624610156849E+08    	
 3.463296830520E+00  	 4.286287417828E+07    	
 4.168532790057E+00  	 5.699079880537E+07    	
 5.526060849296E-05  	 2.840796153036E+03    	
 1.790266683918E+01  	 1.442168251928E+07    	
 2.919730227232E+00  	 3.990624383950E+06    	
 9.641169359650E-03  	 1.691541856368E+04    	
 3.679751684176E-04  	 3.763381408595E+03    	
 9.529150859255E-05  	 3.866512026441E+03    	
 1.834089553842E+00  	 3.623077565342E+06    	
 1.122853983646E+02  	 2.701153187700E+07    	
 1.783648191585E+02  	 4.271122842891E+07    	
 1.357434872462E+01  	 2.178761936233E+06    	
 7.695391351185E+00  	 3.652464282290E+07    	
 2.121040213224E+00  	 4.996954955879E+06    	
 4.883414262736E+00  	 1.272976291859E+07    	
 6.593588044946E-01  	 7.836710485268E+06    	
 7.549066197264E-02  	 8.581242050831E+04    	
 3.836057633253E-01  	 1.507833655691E+06    	
 2.266277856768E-01  	 1.259235380474E+06    	
 4.396115653605E+00  	 1.249758785954E+07    	
 4.720990670359E+01  	 2.560469804808E+08    	
 1.238138986819E+01  	 6.239790177456E+07    	
 7.048092476868E-01  	 2.524950444554E+06    	
 1.851130600772E+01  	 6.041578945305E+07    	
 7.566220873557E-05  	 5.377690579311E+02    	
 4.617242645266E+01  	 7.513070563115E+07    	
 3.531198272015E+00  	 3.236444910019E+06    	
 7.940787405646E+00  	 5.104960294299E+06    	
 2.354790323178E-01  	 3.603338265813E+06    	
 8.869947031885E+00  	 2.507904065274E+07    	
 3.343376394391E+00  	 9.292999293871E+06    	
 1.089166578541E-01  	 1.838489299342E+05    	
 2.241287416178E-03  	 7.796902169371E+03    	
 3.306930505627E-02  	 5.284779917180E+04    	
 9.915709927192E-01  	 5.647926017467E+06    	
 4.328460553812E+00  	 1.242729897031E+07    	
 1.421673949943E+01  	 2.840106564714E+07    	
 3.641557636059E-01  	 3.289129212320E+06    	
 1.071855165133E-03  	 1.708657831687E+04    	
 6.389544667667E-05  	 8.237794622637E+02    	
 6.493080621990E+01  	 7.909758934086E+07    	
 1.795548588024E+00  	 2.410627976540E+06    	
 7.746431864159E-06  	 3.874446305162E+02    	
 1.399245199305E+00  	 7.344959878618E+06    	
 3.739795566385E-01  	 1.962574424657E+06    	
 3.716794777133E+00  	 4.045744882758E+06    	
 2.215130153400E-03  	 7.107026707986E+03    	
 6.632397217204E-01  	 2.582967685258E+06    	
 1.159867888651E-05  	 8.229221560966E+01    	
 7.703261072967E-01  	 3.570235180719E+06    	
 1.905612763701E-04  	 4.606511678834E+03    	
 1.742960211852E-01  	 4.620348612403E+05    	
 4.748530432426E-06  	 2.106151654263E+02    	
 6.335176293310E+01  	 6.120982434112E+07    	
 3.500807021894E-04  	 2.259086863700E+03    	
 1.358465968033E+01  	 1.763520957569E+07    	
